frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
49,2.333335,626.0,241.0,1,6.67,-17.0487,3.2821,0.0,0,720.61,491.53,526.57,362.2,1,2,detect,detect
50,2.380954,630.0,245.0,1,6.631,-15.5126,32.2673,91.454,0,714.22,472.67,525.02,362.32,1,2,detect,detect
51,2.428573,631.0,247.0,1,6.588,-14.7868,15.2682,1.9396,0,704.68,465.05,524.3,362.33,1,2,detect,detect
52,2.476192,635.0,253.0,1,6.4912,-12.7608,42.5947,0.658,0,697.62,463.18,523.99,362.43,1,2,detect,detect
53,2.523811,637.0,258.0,1,6.3881,-11.2271,32.2803,1.1101,0,686.34,462.57,523.99,362.4,1,2,detect,detect
54,2.571430,641.0,266.0,1,6.2566,-9.0222,46.3846,0.4341,0,677.27,459.94,524.0,362.47,1,2,detect,detect
55,2.619050,645.0,281.0,1,5.9841,-5.5526,73.0872,1.0795,0,666.93,455.69,523.96,362.38,1,2,detect,detect
56,2.666669,648.0,292.0,1,5.8191,-3.4375,44.5521,0.0313,0,659.93,455.29,523.29,362.55,1,2,detect,detect
57,2.714288,650.0,306.0,1,5.6113,-1.1459,48.3208,0.7211,0,655.14,455.18,521.86,362.65,1,2,detect,detect
58,2.761907,652.0,315.0,1,5.5059,0.136,27.0095,0.4805,0,650.29,453.89,519.66,361.95,1,2,detect,detect
59,2.809526,-1,-1,0,-1,-1,-1,-1,0,645.99,451.13,518.11,362.03,1,2,detect,detect
60,2.857145,611.0,289.0,1,5.2187,-3.9838,43.3623,171.3107,0,637.1,446.73,516.17,361.01,1,2,detect,detect
61,2.904764,601.0,279.0,1,5.1898,-5.9726,41.7691,3.157,0,630.41,441.3,514.91,358.96,1,2,detect,detect
62,2.952383,592.0,272.0,1,5.127,-7.5412,32.968,1.4618,0,622.99,440.21,512.08,363.66,1,2,detect,detect
63,3.000002,585.0,264.0,1,5.1166,-9.5472,42.1266,1.9974,0,612.74,439.13,509.87,363.68,1,2,detect,detect
64,3.047621,579.0,258.0,1,5.0911,-11.2271,35.2817,0.5719,0,604.89,436.97,507.93,363.76,1,2,detect,detect
65,3.095240,568.0,256.0,1,4.8774,-11.825,13.3338,18.8013,0,593.03,435.02,507.3,363.11,1,2,detect,detect
66,3.142859,562.0,258.0,1,4.711,-11.2271,13.0331,144.7764,0,585.67,434.98,507.03,363.47,1,2,detect,detect
67,3.190479,558.0,258.0,1,4.6215,-11.2271,1.8783,74.4458,0,579.11,434.86,507.78,364.89,1,2,detect,detect
68,3.238098,553.0,260.0,1,4.484,-10.6488,12.4831,76.6248,0,572.02,434.83,507.99,367.29,1,2,detect,detect
69,3.285717,547.0,264.0,1,4.3073,-9.5472,23.429,4.2601,0,565.32,435.03,507.97,368.72,1,2,detect,detect
70,3.333336,540.0,272.0,1,4.0856,-7.5412,42.3826,2.8079,0,562.26,435.97,506.45,370.1,1,2,detect,detect
71,3.380955,536.0,275.0,1,3.9822,-6.8493,14.6911,2.1931,0,559.29,436.55,507.32,370.19,1,2,detect,flow
72,3.428574,534.0,281.0,1,3.901,-5.5526,27.2852,4.9169,0,556.85,437.17,504.6,372.07,1,2,detect,detect
73,3.476193,532.0,289.0,1,3.8146,-3.9838,32.9947,0.4312,0,550.8,437.0,503.1,373.12,1,2,detect,detect
74,3.523812,528.0,294.0,1,3.7178,-3.0849,18.9848,2.9953,0,544.69,437.06,504.52,373.53,1,2,detect,detect
75,3.571431,526.0,302.0,1,3.6471,-1.7607,27.848,3.0948,0,538.99,436.63,503.14,373.05,1,2,detect,detect
76,3.619050,-1,-1,0,-1,-1,-1,-1,0,532.49,441.34,502.13,372.27,1,2,detect,detect
77,3.666669,-1,-1,0,-1,-1,-1,-1,0,527.02,445.03,502.03,373.3,1,2,detect,detect
78,3.714288,511.0,296.0,1,3.4192,-2.7413,7.0472,163.8592,0,521.72,446.79,497.71,378.34,1,2,detect,flow
79,3.761908,506.0,272.0,1,3.4047,-7.5412,100.7985,12.9154,1,517.84,446.88,493.89,377.86,1,2,detect,flow
80,3.809527,495.0,253.0,1,3.2246,-12.7608,109.6765,1.8027,1,515.0,445.89,490.6,377.89,1,2,detect,flow
81,3.857146,481.0,219.0,1,2.8801,-28.2055,324.4188,0.6977,1,510.69,443.32,501.01,374.1,1,2,detect,detect
82,3.904765,476.0,204.0,1,2.6632,-40.0708,249.212,0.2307,1,507.6,443.13,498.02,372.47,1,2,detect,detect
83,3.952384,468.0,190.0,1,2.1762,-57.3097,362.1618,0.5708,1,504.69,443.45,493.13,370.8,1,2,detect,detect
84,4.000003,463.0,179.0,1,1.6449,-79.0944,457.6152,0.2208,1,503.18,443.21,492.24,371.38,1,2,detect,flow
85,4.047622,457.0,170.0,1,0.7795,-108.0251,607.8141,0.3161,1,505.08,443.25,491.89,372.43,1,2,detect,flow
86,4.095241,444.0,153.0,1,-3.9669,-256.7928,3125.7104,0.1141,1,508.72,447.49,490.22,372.86,1,2,detect,detect
