frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
49,2.333335,626.0,241.0,1,6.6827,-17.1895,3.3055,0.0,0,720.6,491.45,526.6,362.22,1,2,detect,detect
50,2.380954,630.0,245.0,1,6.6425,-15.6342,32.6711,91.4834,0,714.4,472.58,524.93,362.52,1,2,detect,detect
51,2.428573,630.0,246.0,1,6.6079,-15.2636,7.8172,3.8508,0,704.82,465.02,524.35,362.42,1,2,detect,detect
52,2.476192,635.0,252.0,1,6.5315,-13.1776,43.8354,3.2375,0,697.58,463.16,524.06,362.45,1,2,detect,detect
53,2.523811,637.0,258.0,1,6.3954,-11.302,39.4907,2.0543,0,686.37,462.64,524.02,362.39,1,2,detect,detect
54,2.571430,641.0,266.0,1,6.262,-9.077,46.8089,0.7202,0,677.32,459.98,524.0,362.45,1,2,detect,detect
55,2.619050,645.0,280.0,1,6.008,-5.791,69.2125,0.9879,0,666.92,455.93,523.95,362.34,1,2,detect,detect
56,2.666669,648.0,291.0,1,5.8388,-3.6338,45.4386,0.0664,0,659.89,455.39,523.31,362.53,1,2,detect,detect
57,2.714288,649.0,303.0,1,5.6431,-1.6107,42.6838,1.042,0,655.1,455.21,521.83,362.67,1,2,detect,detect
58,2.761907,652.0,314.0,1,5.519,-0.0,33.9253,1.1244,0,650.33,453.89,519.67,362.0,1,2,detect,detect
59,2.809526,629.0,302.0,1,5.3314,-1.7679,37.3353,169.5375,0,646.01,451.12,518.16,362.06,1,2,detect,detect
60,2.857145,611.0,289.0,1,5.2175,-4.0025,46.9867,3.1432,0,637.19,446.61,516.21,361.05,1,2,detect,detect
61,2.904764,600.0,278.0,1,5.186,-6.2199,46.569,2.1019,0,630.42,441.49,512.08,361.32,1,2,detect,flow
62,2.952383,592.0,272.0,1,5.1263,-7.584,28.6735,1.6884,0,622.96,440.25,510.42,361.73,1,2,detect,flow
63,3.000002,585.0,263.0,1,5.134,-9.8777,48.1692,2.6934,0,612.68,439.09,510.18,362.02,1,2,detect,flow
64,3.047621,578.0,258.0,1,5.0687,-11.302,29.9412,2.8122,0,604.77,436.7,508.02,363.45,1,2,detect,detect
65,3.095240,567.0,256.0,1,4.8535,-11.9058,13.4612,16.9928,0,592.93,434.97,507.52,362.96,1,2,detect,detect
66,3.142859,562.0,258.0,1,4.709,-11.302,13.0384,146.9195,0,585.65,434.76,507.22,363.44,1,2,detect,detect
67,3.190479,558.0,258.0,1,4.619,-11.302,1.8888,76.5343,0,579.2,434.78,507.96,364.97,1,2,detect,detect
68,3.238098,553.0,260.0,1,4.4807,-10.7182,12.6,76.6724,0,572.08,434.84,508.14,367.24,1,2,detect,detect
69,3.285717,547.0,263.0,1,4.314,-9.8777,17.9932,2.1066,0,565.38,435.05,508.13,368.8,1,2,detect,detect
70,3.333336,540.0,272.0,1,4.0802,-7.584,48.4184,5.4021,0,562.35,436.01,506.76,370.07,1,2,detect,detect
71,3.380955,536.0,274.0,1,3.9841,-7.1158,10.037,5.7877,0,559.28,436.62,507.59,370.17,1,2,detect,flow
72,3.428574,534.0,280.0,1,3.9017,-5.791,27.8749,8.0498,0,556.79,437.19,504.81,372.11,1,2,detect,detect
73,3.476193,532.0,289.0,1,3.8084,-4.0025,37.6086,0.5696,0,550.66,437.01,503.22,373.22,1,2,detect,detect
74,3.523812,528.0,293.0,1,3.7164,-3.2747,15.4045,4.2199,0,544.56,437.01,504.59,373.61,1,2,detect,detect
75,3.571431,525.0,302.0,1,3.6243,-1.7679,31.7021,3.7109,0,538.5,436.62,503.47,373.1,1,2,detect,detect
76,3.619050,523.0,309.0,1,3.5647,-0.7063,22.3295,0.2822,0,532.12,441.35,501.99,372.31,1,2,detect,detect
77,3.666669,515.0,311.0,1,3.433,-0.4189,6.6398,21.4005,0,527.07,445.27,501.9,373.27,1,2,detect,detect
78,3.714288,510.0,296.0,1,3.3948,-2.7533,49.0295,154.4481,0,521.85,446.88,497.55,378.15,1,2,detect,flow
79,3.761908,506.0,272.0,1,3.3962,-7.584,101.4441,0.9544,1,517.86,446.87,493.68,377.68,1,2,detect,flow
80,3.809527,495.0,252.0,1,3.2163,-13.1776,117.5266,1.8589,1,515.05,445.94,490.49,377.81,1,2,detect,flow
81,3.857146,480.0,218.0,1,2.8267,-29.1901,336.362,0.4481,1,510.71,443.34,500.76,374.12,1,2,detect,detect
82,3.904765,476.0,204.0,1,2.6374,-40.6556,240.8075,0.4477,1,507.56,443.11,497.84,372.51,1,2,detect,detect
83,3.952384,468.0,190.0,1,2.134,-58.4209,373.2226,0.6768,1,504.68,443.54,497.14,371.31,1,2,detect,flow
84,4.000003,463.0,178.0,1,1.5422,-83.8109,533.3342,0.2875,1,503.2,443.3,496.36,371.78,1,2,detect,flow
85,4.047622,457.0,170.0,1,0.6623,-111.6727,585.3888,0.4734,1,505.08,443.33,496.0,372.87,1,2,detect,flow
86,4.095241,444.0,153.0,1,-4.6043,-276.9202,3471.9567,0.0166,1,508.69,447.57,490.98,373.11,1,2,detect,detect
87,4.142860,438.0,144.0,1,-21.5368,-823.1444,11476.2109,0.0499,1,507.48,452.3,491.15,375.98,1,2,detect,flow
88,4.190479,431.0,141.0,1,-68.596,-2120.9165,27271.105,0.3012,1,504.1,459.19,491.0,374.41,1,2,detect,flow
89,4.238098,425.0,137.0,1,79.4182,2081.366,88302.5872,179.9406,1,497.61,462.18,487.81,371.54,1,2,detect,flow
90,4.285717,420.0,136.0,1,58.672,1404.9764,14210.8488,179.7396,1,494.34,463.27,482.02,367.13,1,2,detect,flow
91,4.333337,408.0,136.0,1,69.2246,1404.9764,221.6046,91.7568,1,492.67,463.15,494.41,362.0,1,2,detect,detect
92,4.380956,401.0,136.0,1,75.3803,1404.9764,129.2693,0.0,1,486.49,458.59,493.66,362.45,1,2,detect,detect
93,4.428575,395.0,139.0,1,5674.9224,100812.3906,2090863.3058,86.776,1,481.42,450.23,490.79,362.91,1,2,detect,detect
94,4.476194,390.0,144.0,1,-47.4307,-823.1444,2137724.9355,179.9985,1,472.97,437.87,488.19,363.62,1,2,detect,detect
95,4.523813,382.0,153.0,1,-16.4852,-276.9202,11489.0949,179.98,1,456.63,435.55,486.36,362.88,1,2,detect,detect
96,4.571432,376.0,161.0,1,-10.1386,-167.2839,2306.2141,0.0705,1,440.35,438.19,485.5,360.67,1,2,detect,detect
97,4.619051,468.0,228.0,1,2.4788,-23.2099,3037.1317,1.6919,1,429.06,444.22,485.98,358.98,1,2,detect,detect
98,4.666670,499.0,246.0,1,3.3318,-15.2636,167.8321,1.1223,1,421.38,451.52,485.5,358.59,1,2,detect,detect
99,4.714289,521.0,260.0,1,3.7731,-10.7182,95.9026,0.5824,0,414.05,457.93,484.4,358.68,1,2,detect,detect
100,4.761908,534.0,270.0,1,3.9751,-8.0664,55.8474,1.1889,0,404.91,464.77,483.75,357.6,1,2,detect,detect
101,4.809527,543.0,278.0,1,4.0888,-6.2199,38.8517,0.8322,0,398.33,472.97,482.23,358.75,1,2,detect,detect
102,4.857146,560.0,291.0,1,4.2898,-3.6338,54.4701,0.9218,0,386.41,491.02,439.37,355.39,1,2,detect,flow
103,4.904765,566.0,297.0,1,4.3402,-2.5839,22.0749,1.6991,0,378.69,497.6,484.06,358.83,1,43,detect,detect
104,4.952385,570.0,306.0,1,4.3289,-1.1504,30.1038,3.1996,0,372.73,499.7,484.79,357.91,1,43,detect,detect
105,5.000004,575.0,311.0,1,4.3663,-0.4189,15.3823,3.3816,0,373.93,500.25,487.77,357.23,1,43,detect,detect
